Product/Service Name,Sales Description,SKU,Type,Sales Price / Rate,Taxable,Income Account,Purchase Description,Purchase Cost,Expense Account,Quantity on Hand,Reorder Point,Inventory Asset Account,Quantity as-of Date
Colouring Pencils Brown Tube,,10133,Inventory,0.42,No,,,,,945,,,
Hearts Gift Tape,,21879,Inventory,0.19,No,,,,,113,,,
Skulls Tape,,21882,Inventory,0.19,No,,,,,764,,,
Ping! Microwave Plate,,22108,Inventory,1.25,No,,,,,795,,,
Paperweight Save The Planet,,22389,Inventory,0.85,No,,,,,441,,,
Pens Assorted Funny Face,,22610,Inventory,0.21,No,,,,,322,,,
Ceramic Love Heart Money Bank,,22647,Inventory,0.42,No,,,,,856,,,
Vintage Bead Pink Scarf,,35651,Inventory,1.65,No,,,,,493,,,
Vintage Bead Pink Evening Bag,,35646,Inventory,1.25,No,,,,,832,,,
Vintage Bead Pink Purse,,35648,Inventory,0.85,No,,,,,846,,,
Ass Floral Print Multi Screwdriver,,47503A,Inventory,0.42,No,,,,,223,,,
English Rose Garden Secateurs,,47504K,Inventory,0.85,No,,,,,881,,,
S/4 Valentine Decoupage Heart Box,,85184C,Inventory,1.25,No,,,,,357,,,
Boom Box Speaker Girls,,21065,Inventory,1.25,No,,,,,503,,,
Decorative Rose Bathroom Bottle,,21773,Inventory,0.42,No,,,,,822,,,
Tv Dinner Tray Air Hostess,,22471,Inventory,1.95,No,,,,,139,,,
Pottering Mug,,21876,Inventory,0.42,No,,,,,139,,,
Cream Sweetheart Egg Holder,,22854,Inventory,4.95,No,,,,,125,,,
Polyester Filler Pad 45X45Cm,,46000M,Inventory,1.55,No,,,,,642,,,
T-Light Holder Sweetheart Hanging,,22789,Inventory,1.95,No,,,,,972,,,
Lunch Bag Spaceboy Design,,22382,Inventory,1.65,No,,,,,982,,,
Lunch Bag Dolly Girl Design,,22662,Inventory,1.65,No,,,,,534,,,
Party Pizza Dish Red Retrospot,,22343,Inventory,0.21,No,,,,,79,,,
Party Pizza Dish Pink Polkadot,,22344,Inventory,0.21,No,,,,,683,,,
Doorstop Racing Car Design,,22512,Inventory,1.25,No,,,,,524,,,
Glass Jar Kings Choice,,22359,Inventory,2.95,No,,,,,541,,,
Wooden Box Advent Calendar,,35400,Inventory,7.95,No,,,,,946,,,
Red Retrospot Traditional Teapot,,21527,Inventory,7.95,No,,,,,413,,,
Lunch Bag Cars Blue,,20728,Inventory,1.65,No,,,,,832,,,
Lunch Bag Woodland,,20726,Inventory,1.65,No,,,,,259,,,
Fairy Tale Cottage Nightlight,,22466,Inventory,1.95,No,,,,,468,,,
Retrospot Tea Set Ceramic 11 Pc,,22139,Inventory,4.95,No,,,,,714,,,
Mirrored Wall Art Stars,,21365,Inventory,2.95,No,,,,,893,,,
Mirrored Wall Art Poppies,,21371,Inventory,2.55,No,,,,,392,,,
Picture Dominoes,,22549,Inventory,1.45,No,,,,,471,,,
Toy Tidy Spaceboy,,22380,Inventory,2.1,No,,,,,809,,,
Toy Tidy Pink Polkadot,,22381,Inventory,2.1,No,,,,,807,,,
Recycling Bag Retrospot,,22379,Inventory,2.1,No,,,,,828,,,
Photo Clip Line,,71270,Inventory,1.25,No,,,,,497,,,
Postage,,POST,Inventory,28,No,,,,,437,,,
Gin & Tonic Diet Greeting Card,,21519,Inventory,0.42,No,,,,,88,,,
White Wood Garden Plant Ladder,,22487,Inventory,8.5,No,,,,,78,,,
Hanging Heart Zinc T-Light Holder,,84970S,Inventory,0.64,No,,,,,644,,,
Owl Doorstop,,21116,Inventory,4.95,No,,,,,854,,,
Medium Medina Stamped Metal Bowl,,21683,Inventory,2.95,No,,,,,96,,,
Single Heart Zinc T-Light Holder,,84970L,Inventory,0.95,No,,,,,638,,,
Doormat Fancy Font Home Sweet Home,,21523,Inventory,7.95,No,,,,,994,,,
Jumbo Bag Baroque Black White,,85099C,Inventory,1.95,No,,,,,418,,,
Small Heart Measuring Spoons,,22196,Inventory,0.85,No,,,,,552,,,
Sweetheart Ceramic Trinket Box,,21231,Inventory,1.06,No,,,,,359,,,
